version,pool_method,label_col,F1,AUROC,Accuracy,n,base_rate
ptEZ,final_pos,Rote_D,0.7845766974015087,0.4525397017820342,0.6512890094979648,737,0.6933514246947082
ptEZ,final_pos,Inference_D,0.7138863000931968,0.4977864170104728,0.5817438692098093,734,0.6267029972752044
ptEZ,final_pos,MW,0.4332493702770781,0.46044923780062974,0.4693396226415094,848,0.47759433962264153
ptEZ,masked_mean,SVT,0.6784511784511785,0.4895310244065184,0.5495283018867925,848,0.5908018867924528
ptEZ,masked_mean,Rote_X,0.8207282913165266,0.47402987637362637,0.6981132075471698,848,0.7358490566037735
ptEZ,masked_mean,Rote_Y,0.7997227997227997,0.5024139503219642,0.6715909090909091,880,0.7079545454545455
ptEZ,masked_mean,Rote_Z,0.7278195488721805,0.45430466600449815,0.5900339750849377,883,0.6591166477916195
ptEZ,masked_mean,Inference_X,0.8316008316008318,0.5038273449942817,0.7134433962264151,848,0.7275943396226415
ptEZ,masked_mean,Inference_Y,0.7788117394416606,0.5235732627036975,0.6488636363636363,880,0.7056818181818182
ptEZ,masked_mean,Inference_Z,0.8266129032258065,0.5091949807455531,0.7078142695356738,883,0.7327293318233296
ptEZ,masked_mean,Deep_X,0.6299638989169676,0.47127659574468095,0.5165094339622641,848,0.5542452830188679
ptEZ,masked_mean,Deep_Z,0.689873417721519,0.49583956867365026,0.5560588901472253,883,0.5911664779161948
ptEZ,masked_mean,Rote_D,0.7887788778877888,0.4603241951405366,0.6526458616010855,737,0.6933514246947082
ptEZ,masked_mean,Inference_D,0.6893203883495146,0.5051332910187242,0.5640326975476839,734,0.6267029972752044
ptEZ,masked_mean,MW,0.398406374501992,0.44784438313407465,0.4658018867924528,848,0.47759433962264153
ptEML,mean,SVT,0.5597416576964477,0.5124621074853175,0.5176886792452831,848,0.5908018867924528
ptEML,mean,Rote_X,0.8383067314365024,0.5432334592490843,0.7252358490566038,848,0.7358490566037735
ptEML,mean,Rote_Y,0.8055944055944056,0.49975329615079533,0.6840909090909091,880,0.7079545454545455
ptEML,mean,Rote_Z,0.7328244274809159,0.46928337386261143,0.6036240090600227,883,0.6591166477916195
ptEML,mean,Inference_X,0.8316008316008318,0.47318052018214096,0.7134433962264151,848,0.7275943396226415
ptEML,mean,Inference_Y,0.734375,0.5345656215221433,0.6136363636363636,880,0.7056818181818182
ptEML,mean,Inference_Z,0.830995323981296,0.501722421606895,0.7134767836919592,883,0.7327293318233296
ptEML,mean,Deep_X,0.6003937007874016,0.5238826972869526,0.5212264150943396,848,0.5542452830188679
ptEML,mean,Deep_Z,0.6038426349496798,0.4891796945479246,0.5096262740656852,883,0.5911664779161948
ptEML,mean,Rote_D,0.8110300081103001,0.5012036090954747,0.683853459972863,737,0.6933514246947082
ptEML,mean,Inference_D,0.7245841035120149,0.5259600126943828,0.5940054495912807,734,0.6267029972752044
ptEML,mean,MW,0.42896935933147634,0.5215338739793216,0.5165094339622641,848,0.47759433962264153
ptEML,final_pos,SVT,0.6531332744924978,0.5081709779288685,0.5365566037735849,848,0.5908018867924528
ptEML,final_pos,Rote_X,0.8309859154929579,0.5211123511904762,0.7169811320754716,848,0.7358490566037735
ptEML,final_pos,Rote_Y,0.8050490883590462,0.5099649618077459,0.6840909090909091,880,0.7079545454545455
ptEML,final_pos,Rote_Z,0.7373887240356083,0.4572558824536767,0.5990939977349944,883,0.6591166477916195
ptEML,final_pos,Inference_X,0.8386206896551724,0.4777480758031812,0.7240566037735849,848,0.7275943396226415
ptEML,final_pos,Inference_Y,0.7599699021820917,0.5316061403017924,0.6375,880,0.7056818181818182
ptEML,final_pos,Inference_Z,0.8365320979483786,0.5186060828334162,0.7202718006795017,883,0.7327293318233296
ptEML,final_pos,Deep_X,0.6185958254269449,0.5194866599121918,0.5259433962264151,848,0.5542452830188679
ptEML,final_pos,Deep_Z,0.6173515981735159,0.5056197662941382,0.5254813137032842,883,0.5911664779161948
ptEML,final_pos,Rote_D,0.7963726298433637,0.46247164158426124,0.6648575305291723,737,0.6933514246947082
ptEML,final_pos,Inference_D,0.6512118018967334,0.5236512218343383,0.5490463215258855,734,0.6267029972752044
ptEML,final_pos,MW,0.5042424242424242,0.5222027143772817,0.5176886792452831,848,0.47759433962264153
ptEML,masked_mean,SVT,0.6251162790697673,0.5057493082998269,0.5247641509433962,848,0.5908018867924528
ptEML,masked_mean,Rote_X,0.7824795842613214,0.5302913232600732,0.6544811320754716,848,0.7358490566037735
ptEML,masked_mean,Rote_Y,0.7960057061340942,0.5057241538682539,0.675,880,0.7079545454545455
ptEML,masked_mean,Rote_Z,0.7824858757062146,0.4830347866789967,0.6511891279728199,883,0.6591166477916195
ptEML,masked_mean,Inference_X,0.8379501385041551,0.4929732612066486,0.7240566037735849,848,0.7275943396226415
ptEML,masked_mean,Inference_Y,0.7906976744186046,0.539722952766431,0.6727272727272727,880,0.7056818181818182
ptEML,masked_mean,Inference_Z,0.8376408217362492,0.5088740732978808,0.7225368063420159,883,0.7327293318233296
ptEML,masked_mean,Deep_X,0.6031746031746033,0.5237757514353258,0.5283018867924528,848,0.5542452830188679
ptEML,masked_mean,Deep_Z,0.5717054263565892,0.4834378747837531,0.49943374858437145,883,0.5911664779161948
ptEML,masked_mean,Rote_D,0.8032921810699588,0.49622465060699994,0.6757123473541384,737,0.6933514246947082
ptEML,masked_mean,Inference_D,0.6680584551148225,0.5298794033640114,0.5667574931880109,734,0.6267029972752044
ptEML,masked_mean,MW,0.46683673469387754,0.49868740071900347,0.5070754716981132,848,0.47759433962264153
