version,pool_method,label_col,F1,AUROC,Accuracy,n,base_rate
ptEZftEML,mean,SVT,0.667802385008518,0.5024130413524537,0.5400943396226415,848,0.5908018867924528
ptEZftEML,mean,Rote_X,0.8380427291523087,0.4973457532051282,0.722877358490566,848,0.7358490566037735
ptEZftEML,mean,Rote_Y,0.5969868173258004,0.5239989757106007,0.5136363636363637,880,0.7079545454545455
ptEZftEML,mean,Rote_Z,0.7299382716049382,0.4847587080864472,0.6036240090600227,883,0.6591166477916195
ptEZftEML,mean,Inference_X,0.837595024187975,0.5330849593410372,0.722877358490566,848,0.7275943396226415
ptEZftEML,mean,Inference_Y,0.7241379310344828,0.5147321234277756,0.6,880,0.7056818181818182
ptEZftEML,mean,Inference_Z,0.8198504418762745,0.5049380452152045,0.6998867497168743,883,0.7327293318233296
ptEZftEML,mean,Deep_X,0.5973496432212029,0.5385736800630418,0.5341981132075472,848,0.5542452830188679
ptEZftEML,mean,Deep_Z,0.6105860113421551,0.5082041158552765,0.5334088335220838,883,0.5911664779161948
ptEZftEML,mean,Rote_D,0.792358803986711,0.47601440867291267,0.66078697421981,737,0.6933514246947082
ptEZftEML,mean,Inference_D,0.7408759124087592,0.5433354490637893,0.6130790190735694,734,0.6267029972752044
ptEZftEML,mean,MW,0.3302752293577982,0.4551793328317031,0.4834905660377358,848,0.47759433962264153
ptEZftEML,final_pos,SVT,0.6666666666666666,0.4990595178519043,0.5424528301886793,848,0.5908018867924528
ptEZftEML,final_pos,Rote_X,0.8422496570644719,0.48110548305860806,0.7287735849056604,848,0.7358490566037735
ptEZftEML,final_pos,Rote_Y,0.8005578800557881,0.5278962719613268,0.675,880,0.7079545454545455
ptEZftEML,final_pos,Rote_Z,0.7869986168741354,0.47518580676096867,0.6511891279728199,883,0.6591166477916195
ptEZftEML,final_pos,Inference_X,0.8321678321678321,0.5019610319448244,0.7169811320754716,848,0.7275943396226415
ptEZftEML,final_pos,Inference_Y,0.8022519352568613,0.547634591112852,0.6806818181818182,880,0.7056818181818182
