label_col,model1,model2,t,p
Inference_Z,ptEZftEML_final_pos,ptEML_final_pos,0.8505617634488203,0.3952436778829963
Inference_Z,ptEZ_masked_mean,ptEZftEML_masked_mean,-0.46395570812548415,0.6427939617154315
Inference_Z,ptEZ_masked_mean,ptEML_masked_mean,1.5409960456234146,0.12367642668200257
Inference_Z,ptEZftEML_masked_mean,ptEML_masked_mean,1.8305085952314883,0.06751121607126231
Deep_X,ptEZ_mean,ptEZftEML_mean,2.092931789906923,0.036652237477145855
Deep_X,ptEZ_mean,ptEML_mean,1.1580279165234495,0.24717906986411745
Deep_X,ptEZftEML_mean,ptEML_mean,-0.7806082177386368,0.4352510570587348
Deep_X,ptEZ_final_pos,ptEZftEML_final_pos,3.213689036791623,0.0013599822253122335
Deep_X,ptEZ_final_pos,ptEML_final_pos,2.5341219952719016,0.011452095388981304
Deep_X,ptEZftEML_final_pos,ptEML_final_pos,-0.5223332516520234,0.6015749020577628
Deep_X,ptEZ_masked_mean,ptEZftEML_masked_mean,2.6182700461971304,0.008995511539693558
Deep_X,ptEZ_masked_mean,ptEML_masked_mean,1.490161177855366,0.13655413860211996
Deep_X,ptEZftEML_masked_mean,ptEML_masked_mean,-1.1767641089439214,0.2396202661775348
Deep_Z,ptEZ_mean,ptEZftEML_mean,-2.9710100091793357,0.0030487687215043956
Deep_Z,ptEZ_mean,ptEML_mean,-3.975582112044799,7.595332820862958e-05
Deep_Z,ptEZftEML_mean,ptEML_mean,-1.2674990272403996,0.2053114418668621
Deep_Z,ptEZ_final_pos,ptEZftEML_final_pos,-0.7473088757990908,0.45507631417723293
Deep_Z,ptEZ_final_pos,ptEML_final_pos,-2.032315169796871,0.042420940326492025
Deep_Z,ptEZftEML_final_pos,ptEML_final_pos,-1.6227520032390974,0.10499977864954652
Deep_Z,ptEZ_masked_mean,ptEZftEML_masked_mean,-3.394858427445987,0.0007172783896050172
Deep_Z,ptEZ_masked_mean,ptEML_masked_mean,-3.338770008762225,0.0008767621701058899
Deep_Z,ptEZftEML_masked_mean,ptEML_masked_mean,1.3942774983007178,0.16358493390838527
Rote_D,ptEZ_mean,ptEZftEML_mean,0.5183203185852354,0.6043905794042006
Rote_D,ptEZ_mean,ptEML_mean,4.484601422373988,8.471774398919814e-06
Rote_D,ptEZftEML_mean,ptEML_mean,3.7011415288608602,0.00023064783917259548
Rote_D,ptEZ_final_pos,ptEZftEML_final_pos,-0.5200261733145356,0.6032017057598114
Rote_D,ptEZ_final_pos,ptEML_final_pos,3.0130822289356813,0.0026747917571041976
Rote_D,ptEZftEML_final_pos,ptEML_final_pos,3.4431501996529534,0.0006075049522006683
Rote_D,ptEZ_masked_mean,ptEZftEML_masked_mean,2.268499644474979,0.02358760979968025
Rote_D,ptEZ_masked_mean,ptEML_masked_mean,1.5929037959798287,0.11161112324481273
Rote_D,ptEZftEML_masked_mean,ptEML_masked_mean,-0.7535846314906585,0.4513396746855146
Inference_D,ptEZ_mean,ptEZftEML_mean,1.5807363510067862,0.11436971922349792
Inference_D,ptEZ_mean,ptEML_mean,-0.30253943951041534,0.7623267027025454
Inference_D,ptEZftEML_mean,ptEML_mean,-2.090375453548412,0.03692804479956571
Inference_D,ptEZ_final_pos,ptEZftEML_final_pos,0.22276653395192816,0.823779274929698
Inference_D,ptEZ_final_pos,ptEML_final_pos,-1.7943285671904743,0.07317271447107929
Inference_D,ptEZftEML_final_pos,ptEML_final_pos,-1.7022260544117185,0.08913700089941044
Inference_D,ptEZ_masked_mean,ptEZftEML_masked_mean,3.3794935618443667,0.0007646243684237616
Inference_D,ptEZ_masked_mean,ptEML_masked_mean,-0.5397100174050671,0.5895609429696431
Inference_D,ptEZftEML_masked_mean,ptEML_masked_mean,-3.2853788855023676,0.0010668956134985772
MW,ptEZ_mean,ptEZftEML_mean,0.4873265290115496,0.6261530487751192
MW,ptEZ_mean,ptEML_mean,2.537155318140042,0.011354096454711467
MW,ptEZftEML_mean,ptEML_mean,1.6663817114489847,0.0960071371294176
MW,ptEZ_final_pos,ptEZftEML_final_pos,1.1721339498191359,0.24147286082462374
MW,ptEZ_final_pos,ptEML_final_pos,2.030561267168906,0.04261147832111339
MW,ptEZftEML_final_pos,ptEML_final_pos,0.8961593669759326,0.37042227373945213
MW,ptEZ_masked_mean,ptEZftEML_masked_mean,0.6177489649709528,0.5369068799510317
MW,ptEZ_masked_mean,ptEML_masked_mean,1.747962315122795,0.08083288256956828
MW,ptEZftEML_masked_mean,ptEML_masked_mean,0.6594834692576674,0.5097646219605558
